kategori_wilayah,kategori_membership,bergabung_melalui_referral,jenis_penawaran_preferensi,medium_operasi,rata_rata_waktu_dihabiskan,rata_rata_nilai_transaksi,rata_rata_hari_login,poin_di_dompet,menggunakan_diskon_khusus,preferensi_aplikasi_penawaran,umpan_balik
Town,Premium Membership,Yes,Without Offers,Desktop,801.13375,22171.5,16.0,721.79,No,Yes,Poor Website
Village,Premium Membership,No,Credit/Debit Card Offers,Desktop,400.46,20562.95,18.0,714.57,No,Yes,Too many ads
Town,No Membership,Yes,Without Offers,Smartphone,557.16,37019.99,16.0,603.16,Yes,No,Too many ads
Town,Basic Membership,Unknown,Gift Vouchers/Coupons,Both,801.13375,32642.69,19.0,678.98,Yes,Yes,No reason specified
Town,Silver Membership,No,Without Offers,Unknown,434.72,12807.3,29.0,737.89,Yes,No,No reason specified
City,No Membership,Yes,Credit/Debit Card Offers,Both,492.59,35570.53,9.0,600.95,Yes,Yes,Too many ads
City,Basic Membership,No,Without Offers,Smartphone,197.6,39574.25,14.0,662.57,No,Yes,Poor Website
Village,Gold Membership,Yes,Without Offers,Both,0.0,49140.01,19.0,680.43,Yes,No,Poor Customer Service
Town,Gold Membership,Yes,Without Offers,Smartphone,801.13375,42948.67,24.0,1031.30375,No,Yes,Poor Customer Service
Town,No Membership,Yes,Without Offers,Unknown,619.01,49323.47,6.0,661.93,Yes,No,Too many ads
Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,290.5,5669.67,0.0,671.01,No,Yes,Poor Website
City,Gold Membership,No,Without Offers,Desktop,34.45,36397.14,29.0,299.8337499999999,Yes,No,Poor Website
Unknown,Basic Membership,Yes,Without Offers,Unknown,801.13375,45639.73,15.0,626.33,No,Yes,No reason specified
City,Silver Membership,No,Without Offers,Unknown,120.86,27147.55,22.0,771.13,No,Yes,Poor Customer Service
Village,No Membership,No,Credit/Debit Card Offers,Both,404.2,49090.93,8.0,538.23,Yes,Yes,Too many ads
City,Platinum Membership,Yes,Without Offers,Desktop,85.56,12212.32,14.0,788.03,Yes,No,No reason specified
City,Basic Membership,No,Without Offers,Desktop,250.51,20079.25,39.48706023,616.53,Yes,Yes,Poor Customer Service
City,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,139.64,23039.6,18.0,690.38,Yes,No,Poor Website
City,Gold Membership,Unknown,Credit/Debit Card Offers,Smartphone,33.28,30210.48,2.0,797.68,Yes,No,User Friendly Website
City,Basic Membership,Unknown,Without Offers,Unknown,320.87,25489.08,27.0,949.5103162,Yes,Yes,Too many ads
Village,Platinum Membership,No,Gift Vouchers/Coupons,Both,211.21,70359.39,13.0,783.0,No,Yes,Reasonable Price
Town,Silver Membership,Unknown,Credit/Debit Card Offers,Desktop,160.8,31273.5,0.0,773.68,Yes,No,Too many ads
Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,119.44,31028.22,19.0,655.71,No,Yes,No reason specified
Town,No Membership,No,Without Offers,Smartphone,102.53,36152.23,6.0,299.8337499999999,Yes,No,Poor Product Quality
Town,No Membership,Unknown,Credit/Debit Card Offers,Unknown,119.69,31654.22,14.0,299.8337499999999,No,Yes,Too many ads
City,Silver Membership,Yes,Without Offers,Desktop,443.48,62457.63,8.0,707.14,Yes,Yes,User Friendly Website
Village,Platinum Membership,No,Without Offers,Unknown,251.53,56657.58,17.0,753.49,No,Yes,Products always in Stock
Village,Gold Membership,Unknown,Gift Vouchers/Coupons,Smartphone,208.89,11876.12,26.0,666.79,Yes,No,Poor Product Quality
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,31.85,32385.69,18.0,663.8,No,Yes,Too many ads
Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,48.63,37491.01,0.0,714.44,Yes,No,No reason specified
City,No Membership,Unknown,Gift Vouchers/Coupons,Smartphone,538.74,35699.87,7.0,1031.30375,No,Yes,No reason specified
Town,Gold Membership,No,Without Offers,Smartphone,252.26,63498.31,17.0,782.9,No,Yes,Products always in Stock
Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,238.54,34184.74,12.0,796.6,Yes,Yes,No reason specified
Village,Silver Membership,Unknown,Credit/Debit Card Offers,Both,378.88,15434.33,23.0,710.82,Yes,No,No reason specified
Unknown,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,223.52,7395.73,23.0,526.73,No,Yes,Poor Website
Town,Silver Membership,Yes,Without Offers,Smartphone,545.48,30071.07,15.0,660.68,No,Yes,Poor Product Quality
City,Platinum Membership,Yes,Credit/Debit Card Offers,Unknown,272.75,6395.16,0.0,1031.30375,Yes,Yes,Products always in Stock
City,No Membership,No,Gift Vouchers/Coupons,Desktop,153.81,4334.07,24.0,658.6,Yes,No,No reason specified
City,Silver Membership,Unknown,Credit/Debit Card Offers,Smartphone,113.47,33620.18,11.0,299.8337499999999,Yes,No,Poor Website
City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,185.79,2825.48,0.0,609.74,Yes,No,Poor Website
City,Basic Membership,Yes,Gift Vouchers/Coupons,Both,526.27,10989.19,17.0,667.12,No,Yes,Poor Product Quality
City,No Membership,No,Gift Vouchers/Coupons,Desktop,445.83,32762.67,13.0,668.23,No,Yes,No reason specified
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,30.76,49293.08,8.0,653.61,No,Yes,Poor Website
Unknown,No Membership,Yes,Credit/Debit Card Offers,Unknown,801.13375,44190.76,29.0,641.26,Yes,Yes,Poor Website
Town,Silver Membership,No,Gift Vouchers/Coupons,Unknown,62.13,17176.96,17.0,793.28,Yes,No,User Friendly Website
City,No Membership,Unknown,Without Offers,Desktop,48.12,43905.73,14.0,612.5,Yes,No,Poor Website
Village,Silver Membership,No,Without Offers,Smartphone,353.89,27852.76,16.0,735.58,No,Yes,Poor Website
Unknown,Basic Membership,No,Without Offers,Desktop,42.8,23857.21,23.0,576.94,Yes,No,Too many ads
City,No Membership,No,Without Offers,Both,406.17,32171.63,28.0,680.03,Yes,No,Poor Customer Service
Unknown,Basic Membership,No,Credit/Debit Card Offers,Smartphone,129.5,8036.57,11.0,897.0963889,Yes,No,Poor Website
Town,No Membership,No,Credit/Debit Card Offers,Desktop,180.67,19445.11,21.0,646.67,Yes,No,Too many ads
Village,Premium Membership,No,Credit/Debit Card Offers,Smartphone,428.18,61950.11,16.0,805.76,No,Yes,User Friendly Website
City,Silver Membership,No,Credit/Debit Card Offers,Desktop,174.8049073,28404.4,0.0,665.65,Yes,No,Poor Customer Service
Unknown,Gold Membership,No,Without Offers,Both,250.16,40201.35,26.0,1023.916481,Yes,No,Too many ads
Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,165.92,46167.97,23.0,661.83,No,Yes,No reason specified
City,Basic Membership,Unknown,Without Offers,Smartphone,259.58,38264.22,9.0,985.1444826,Yes,No,No reason specified
Town,Premium Membership,Yes,Without Offers,Unknown,76.5,49005.62,27.0,332.6096176,Yes,No,Poor Product Quality
City,Gold Membership,No,Without Offers,Smartphone,86.14,44688.94,7.0,299.8337499999999,Yes,No,Too many ads
Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,164.41,26539.52,13.0,628.75,Yes,No,Poor Customer Service
Unknown,Gold Membership,Unknown,Gift Vouchers/Coupons,Desktop,149.97,39272.67,0.0,741.27,Yes,No,Poor Product Quality
Village,Gold Membership,No,Credit/Debit Card Offers,Desktop,113.32,9109.29,12.0,692.59,No,Yes,Poor Website
Unknown,Basic Membership,Yes,Unknown,Smartphone,68.82,28467.12,0.0,299.8337499999999,Yes,No,Poor Customer Service
City,Platinum Membership,Yes,Credit/Debit Card Offers,Unknown,307.04,12323.61,0.0,734.28,No,Yes,Too many ads
Town,No Membership,No,Credit/Debit Card Offers,Both,450.11,33421.39,0.0,612.62,Yes,No,Poor Customer Service
City,No Membership,No,Without Offers,Both,255.59,30872.66,12.0,299.8337499999999,Yes,No,Too many ads
Village,Silver Membership,Yes,Without Offers,Smartphone,0.0,17677.55,44.5,675.01,Yes,No,Too many ads
Town,Premium Membership,No,Credit/Debit Card Offers,Unknown,0.0,36010.06,25.0,799.11,Yes,No,No reason specified
Town,Silver Membership,Unknown,Without Offers,Unknown,34.14,1575.05,42.65631715,754.24,Yes,No,Poor Product Quality
Unknown,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,188.31,63992.45,0.0,1031.30375,No,Yes,Reasonable Price
Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,168.6,44205.69,27.0,629.97,No,Yes,Poor Website
Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,632.24,17695.07,29.0,299.8337499999999,Yes,No,Poor Website
Unknown,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,31.59,32546.63,9.0,754.19,Yes,No,Poor Customer Service
Village,Gold Membership,No,Without Offers,Both,300.58,10697.23,17.0,625.92,No,Yes,Poor Product Quality
Town,Platinum Membership,Yes,Without Offers,Smartphone,567.92,24446.78,15.0,710.69,No,Yes,Too many ads
Town,Basic Membership,Yes,Credit/Debit Card Offers,Unknown,37.98,35371.12,0.0,637.78,No,Yes,Poor Website
City,Premium Membership,Yes,Without Offers,Smartphone,134.83,27274.98,26.0,799.85,No,Yes,Poor Website
Unknown,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,64.26,31267.66,0.0,705.54,No,Yes,Too many ads
Unknown,No Membership,Yes,Credit/Debit Card Offers,Desktop,412.33,18187.36,22.0,649.39,Yes,No,No reason specified
Town,No Membership,No,Credit/Debit Card Offers,Desktop,393.08,5778.43,16.0,599.9,Yes,No,No reason specified
City,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,801.13375,44180.61,5.0,299.8337499999999,Yes,Yes,Poor Customer Service
Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,144.53,43030.09,6.0,718.74,No,Yes,Poor Product Quality
City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,114.6,30875.28,25.0,686.11,No,Yes,Poor Website
Unknown,Premium Membership,No,Without Offers,Unknown,801.13375,48154.43,0.0,728.78,Yes,No,Poor Customer Service
Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,32.42,34301.06,28.0,725.27,Yes,No,Poor Product Quality
Town,Premium Membership,Yes,Without Offers,Smartphone,63.77,26452.01,28.0,377.0341155,No,Yes,Poor Website
Town,Premium Membership,No,Without Offers,Smartphone,87.61,18850.69,13.0,748.84,No,Yes,Poor Product Quality
Unknown,Gold Membership,Yes,Without Offers,Desktop,801.13375,51213.42,9.0,299.8337499999999,Yes,No,User Friendly Website
Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,44.66,31085.72,24.0,299.8337499999999,Yes,No,Poor Customer Service
Town,Basic Membership,No,Without Offers,Unknown,471.9,15239.46,13.0,594.04,No,Yes,Too many ads
Unknown,Gold Membership,No,Gift Vouchers/Coupons,Desktop,801.13375,41078.39,6.0,983.0882369,Yes,No,Poor Customer Service
City,Basic Membership,No,Gift Vouchers/Coupons,Desktop,105.4,19189.84,0.0,299.8337499999999,Yes,No,Poor Website
City,No Membership,No,Gift Vouchers/Coupons,Smartphone,101.01,27353.61,0.0,372.3637299,Yes,No,No reason specified
Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,568.58,31758.27,17.0,410.1640145,No,Yes,Poor Website
Town,Premium Membership,Yes,Without Offers,Smartphone,329.13,40309.83,11.0,299.8337499999999,No,Yes,Poor Website
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,801.13375,23031.59,6.0,415.162704,Yes,Yes,Products always in Stock
Village,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,184.0,4873.35,17.0,611.11,No,Yes,Poor Product Quality
Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,133.89,20103.91,0.0,680.64,No,Yes,No reason specified
Unknown,Gold Membership,Unknown,Without Offers,Desktop,182.7,20176.48,11.0,673.32,No,Yes,No reason specified
City,Silver Membership,No,Credit/Debit Card Offers,Desktop,31.38,49723.11,25.0,600.83,Yes,No,Poor Website
Town,No Membership,Unknown,Gift Vouchers/Coupons,Unknown,30.72,5096.6,5.0,710.19,No,Yes,Poor Product Quality
Village,Silver Membership,No,Gift Vouchers/Coupons,Desktop,37.24,45746.77,16.0,644.89,No,Yes,No reason specified
Village,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,175.73,22607.95,6.0,299.8337499999999,Yes,No,Poor Product Quality
Village,Silver Membership,No,Credit/Debit Card Offers,Smartphone,306.56,33808.69,0.0,719.29,No,Yes,Poor Customer Service
Town,Silver Membership,Yes,Without Offers,Smartphone,0.0,15768.49,22.0,688.96,Yes,No,No reason specified
City,Gold Membership,Yes,Without Offers,Smartphone,560.89,31631.59,15.0,614.28,Yes,No,No reason specified
City,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,61.2,1889.17,22.0,747.94,No,Yes,No reason specified
City,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,31.25,24382.38,16.0,299.8337499999999,Yes,No,Reasonable Price
Unknown,No Membership,No,Without Offers,Unknown,182.16,46567.91,13.0,512.4425612,Yes,No,Poor Product Quality
City,Basic Membership,Yes,Without Offers,Smartphone,801.13375,42853.98,10.0,299.8337499999999,Yes,Yes,Too many ads
Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,180.5,1021.41,8.0,762.75,No,Yes,No reason specified
City,Gold Membership,Yes,Without Offers,Desktop,97.28,19815.94,0.0,474.7037595,Yes,No,Poor Website
Unknown,Premium Membership,No,Gift Vouchers/Coupons,Desktop,165.19,40278.06,17.0,1031.30375,Yes,No,Poor Customer Service
Town,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,801.13375,43616.49,0.0,604.77,Yes,No,Poor Product Quality
City,Basic Membership,Yes,Without Offers,Smartphone,90.99,27092.36,26.0,701.73,No,Yes,Too many ads
Village,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,34.26,38456.57,6.0,522.42,No,Yes,No reason specified
City,Basic Membership,No,Gift Vouchers/Coupons,Desktop,56.82,7342.75,20.0,692.02,No,Yes,Poor Product Quality
Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,262.65,35934.73,19.0,784.3,Yes,Yes,Poor Website
City,Platinum Membership,Unknown,Credit/Debit Card Offers,Smartphone,108.97,7133.18,26.0,745.8,Yes,No,Poor Customer Service
Unknown,No Membership,No,Gift Vouchers/Coupons,Smartphone,74.76,29169.2,0.0,696.91,No,Yes,Too many ads
Unknown,Silver Membership,No,Without Offers,Desktop,176.9,26058.27,28.0,673.8,No,Yes,Poor Product Quality
Town,No Membership,No,Credit/Debit Card Offers,Unknown,239.44,8161.25,27.0,299.8337499999999,No,Yes,Poor Product Quality
Town,Premium Membership,No,Without Offers,Desktop,102.49,16735.09,0.0,726.22,No,Yes,No reason specified
City,Basic Membership,No,Without Offers,Both,414.26,28472.36,27.0,578.64,Yes,Yes,Too many ads
City,Premium Membership,No,Without Offers,Unknown,33.25,1640.06,5.0,760.12,Yes,No,Too many ads
Unknown,No Membership,No,Without Offers,Both,283.44,42018.98,25.0,592.9,Yes,Yes,Poor Customer Service
City,Gold Membership,Yes,Without Offers,Smartphone,242.87,22301.42,15.0,657.35,Yes,Yes,Poor Product Quality
Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,38.5,3887.97,22.0,744.18,Yes,No,Poor Product Quality
City,Gold Membership,No,Without Offers,Smartphone,43.35,19365.81,7.0,400.3648912,Yes,No,No reason specified
Village,Silver Membership,No,Without Offers,Desktop,31.79,47458.95,10.0,787.14,Yes,No,Too many ads
Town,No Membership,Unknown,Credit/Debit Card Offers,Desktop,801.13375,28869.31,11.0,652.97,No,Yes,Poor Product Quality
City,Basic Membership,No,Credit/Debit Card Offers,Smartphone,159.44,11239.27,10.0,700.13,No,Yes,Poor Website
Town,Silver Membership,Unknown,Without Offers,Smartphone,122.01,21351.5,39.94427741,1030.954016,Yes,No,No reason specified
City,Silver Membership,Yes,Without Offers,Desktop,801.13375,9241.15,27.0,299.8337499999999,No,Yes,Poor Customer Service
Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,32.31,46963.13,14.0,299.8337499999999,Yes,No,Poor Website
City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,40.34,14901.5,14.0,691.98,Yes,No,No reason specified
City,Silver Membership,No,Unknown,Unknown,173.87,1045.85,24.0,638.63,No,Yes,Too many ads
City,Premium Membership,Yes,Without Offers,Desktop,127.84,80871.465,6.0,299.8337499999999,Yes,No,Quality Customer Care
City,No Membership,Yes,Without Offers,Desktop,170.24,15883.49,21.0,663.41,No,Yes,Too many ads
Town,No Membership,No,Credit/Debit Card Offers,Desktop,33.88,48657.08,7.0,588.73,Yes,No,Poor Website
Village,Silver Membership,Unknown,Credit/Debit Card Offers,Desktop,114.38,35493.36,44.5,622.53,No,Yes,Poor Website
Town,Basic Membership,No,Gift Vouchers/Coupons,Both,492.82,3390.37,9.0,654.5,Yes,No,Too many ads
City,Gold Membership,No,Credit/Debit Card Offers,Unknown,325.66,17887.2,9.0,664.99,Yes,Yes,Poor Customer Service
Town,No Membership,No,Unknown,Smartphone,801.13375,45197.88,7.0,626.87,Yes,No,Poor Product Quality
Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,280.05,43546.86,18.0,1031.30375,Yes,Yes,Poor Product Quality
City,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,71.72,42719.93,20.0,730.14,No,Yes,Poor Customer Service
Unknown,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,801.13375,13011.17,5.0,684.8,Yes,No,No reason specified
City,No Membership,No,Gift Vouchers/Coupons,Desktop,129.82,14966.6,24.0,951.2278804,No,Yes,Poor Website
Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,317.09,46077.14,17.0,628.13,Yes,No,Poor Customer Service
Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,165.42,9040.62,16.0,712.2,Yes,No,Too many ads
Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,801.13375,4445.84,20.0,299.8337499999999,No,Yes,Too many ads
City,Gold Membership,No,Credit/Debit Card Offers,Both,319.52,80871.465,38.70904695,805.93,No,Yes,Products always in Stock
City,Platinum Membership,No,Without Offers,Desktop,191.15,42430.95,0.0,1031.30375,Yes,No,Poor Customer Service
Town,Basic Membership,Yes,Credit/Debit Card Offers,Both,268.43,1407.8,11.0,575.49,Yes,Yes,Too many ads
Unknown,Silver Membership,No,Credit/Debit Card Offers,Smartphone,336.81,30912.04,0.0,677.25,Yes,Yes,No reason specified
Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,113.09,33561.12,5.0,686.49,Yes,No,No reason specified
City,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,43.28,38466.24,11.0,714.77,No,Yes,Poor Website
City,Gold Membership,Yes,Gift Vouchers/Coupons,Both,727.93,21299.74,6.655431836,688.73,Yes,No,No reason specified
City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,298.87,35962.5,21.0,710.8,Yes,Yes,Too many ads
Town,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,103.31,11821.46,18.0,780.18,Yes,No,Too many ads
Unknown,Gold Membership,No,Credit/Debit Card Offers,Desktop,174.15,13782.76,13.0,773.38,Yes,No,Quality Customer Care
Unknown,Premium Membership,No,Gift Vouchers/Coupons,Desktop,224.49,10863.2,13.0,797.66,No,Yes,No reason specified
City,Basic Membership,No,Credit/Debit Card Offers,Desktop,33.19,34883.68,10.0,668.62,Yes,No,Poor Product Quality
Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,54.7,39206.6,23.0,649.1,Yes,No,Poor Customer Service
Unknown,Basic Membership,Yes,Without Offers,Desktop,32.43,35255.88,6.0,610.33,No,Yes,Poor Product Quality
City,No Membership,Unknown,Credit/Debit Card Offers,Desktop,129.61,23548.82,12.0,699.33,No,Yes,Poor Product Quality
Village,Gold Membership,Yes,Gift Vouchers/Coupons,Both,641.97,80871.465,16.0,825.06,No,Yes,Products always in Stock
City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,507.29,34848.69,0.0,659.52,Yes,No,Too many ads
Unknown,Basic Membership,Unknown,Gift Vouchers/Coupons,Desktop,127.55,4127.08,18.0,1031.30375,Yes,No,Too many ads
City,Gold Membership,No,Without Offers,Smartphone,86.45,55838.17,4.0,786.57,No,Yes,Products always in Stock
Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,210.01,12983.72,5.0,606.74,No,Yes,Poor Website
Unknown,Silver Membership,Unknown,Without Offers,Unknown,335.53,43496.36,20.0,783.19,Yes,Yes,Too many ads
City,Platinum Membership,No,Gift Vouchers/Coupons,Unknown,33.29,31054.71,17.0,713.96,No,Yes,Poor Customer Service
City,No Membership,No,Without Offers,Both,229.06,34976.54,16.0,660.33,Yes,No,Poor Product Quality
City,No Membership,No,Without Offers,Both,432.46,33106.41,6.0,299.8337499999999,Yes,No,Too many ads
Unknown,Basic Membership,Unknown,Without Offers,Smartphone,138.63,43607.58,28.0,299.8337499999999,No,Yes,No reason specified
City,No Membership,Unknown,Without Offers,Unknown,801.13375,48175.9,0.0,666.57,No,Yes,Too many ads
Unknown,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,279.86,14328.91,27.0,705.32,Yes,No,Poor Customer Service
Town,Gold Membership,Yes,Without Offers,Desktop,34.1,31639.59,0.0,690.92,Yes,No,Poor Website
Town,Premium Membership,No,Gift Vouchers/Coupons,Unknown,86.57,12719.06,23.0,299.8337499999999,No,Yes,Too many ads
Unknown,Basic Membership,No,Credit/Debit Card Offers,Smartphone,39.89,12486.23,19.0,513.01,No,Yes,No reason specified
City,No Membership,Yes,Credit/Debit Card Offers,Desktop,75.66,3802.33,23.0,646.02,No,Yes,Poor Product Quality
Unknown,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,129.31,13227.37,15.0,794.16,Yes,No,Poor Website
Town,Silver Membership,Yes,Without Offers,Unknown,44.45,9417.24,19.0,788.7,No,Yes,No reason specified
City,Silver Membership,Unknown,Without Offers,Desktop,632.02,16281.5,29.0,752.97,Yes,No,No reason specified
Town,No Membership,No,Credit/Debit Card Offers,Smartphone,242.8,6174.25,0.0,700.28,Yes,No,Poor Website
City,Basic Membership,Unknown,Without Offers,Desktop,587.61,9758.12,28.0,612.46,Yes,No,Too many ads
Town,Basic Membership,Unknown,Gift Vouchers/Coupons,Both,508.86,24238.65,26.0,299.8337499999999,Yes,No,Too many ads
Town,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,317.68,42086.54,0.0,707.15,Yes,Yes,Poor Customer Service
Town,Gold Membership,Yes,Gift Vouchers/Coupons,Both,710.19,4990.66,24.0,670.02,Yes,No,Poor Product Quality
Village,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,114.02,31580.57,16.0,615.48,Yes,No,Poor Customer Service
City,Basic Membership,Yes,Without Offers,Smartphone,270.91,25288.13,0.0,500.04,No,Yes,Too many ads
Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,584.63,38253.42,6.0,506.09,Yes,Yes,Too many ads
Town,Gold Membership,Unknown,Without Offers,Both,801.13375,42865.7,16.0,734.19,No,Yes,Too many ads
Unknown,Platinum Membership,No,Without Offers,Smartphone,30.46,34933.78,23.0,1031.30375,No,Yes,No reason specified
City,No Membership,Yes,Without Offers,Smartphone,131.28,15225.49,0.0,615.36,Yes,No,Poor Customer Service
City,No Membership,Yes,Without Offers,Smartphone,105.16,46698.84,14.0,607.31,No,Yes,Poor Website
Unknown,Gold Membership,Unknown,Credit/Debit Card Offers,Unknown,141.68,19889.75,9.0,704.06,No,Yes,Poor Customer Service
Unknown,Gold Membership,No,Credit/Debit Card Offers,Smartphone,0.0,7433.08,23.0,759.49,No,Yes,Poor Customer Service
City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,518.72,38113.14,12.0,1031.30375,Yes,No,Poor Customer Service
Village,No Membership,Yes,Without Offers,Smartphone,31.76,16271.18,24.0,639.08,No,Yes,No reason specified
